task,category,priority,due_date
Submit proposal,Finance,Low,2025-07-04
Organize report,Home,Low,2025-07-22
Update resume,Shopping,Low,2025-05-25
Submit exercise,Finance,High,2025-08-16
Fix budget,Home,Low,2025-08-12
Plan meeting,Fitness,Medium,2025-08-01
Attend exam,Shopping,Low,2025-08-14
Attend report,Personal,Medium,2025-08-12
Update assignment,Health,Medium,2025-05-24
Schedule proposal,Fitness,Low,2025-07-16
Prepare exercise,Health,Medium,2025-08-01
Clean exam,Personal,High,2025-06-04
Complete exam,Work,Low,2025-06-08
Fix resume,Shopping,Low,2025-05-26
Fix presentation,Home,Medium,2025-06-09
Organize assignment,Finance,Medium,2025-06-15
Review exam,Home,High,2025-06-25
Complete report,Work,Medium,2025-08-13
Update presentation,Personal,High,2025-08-04
Fix report,Personal,Low,2025-07-25
Organize doctor appointment,Shopping,Medium,2025-06-17
Research assignment,Personal,High,2025-05-26
Attend resume,Home,Medium,2025-07-18
Pay exercise,Shopping,Medium,2025-06-17
Clean lecture notes,Fitness,Medium,2025-06-01
Review budget,Personal,Medium,2025-08-11
Prepare email,Fitness,High,2025-06-10
Review lecture notes,Shopping,Medium,2025-06-09
Call budget,Finance,High,2025-06-06
Fix exam,Home,Low,2025-06-14
Write invoice,Fitness,Medium,2025-06-20
Complete lecture notes,Finance,Medium,2025-06-02
Send car service,Finance,Medium,2025-07-28
Buy email,Shopping,High,2025-07-02
Pay exam,Personal,High,2025-06-18
Clean report,Finance,Low,2025-08-10
Write exam,Health,Low,2025-08-08
Buy email,Finance,Medium,2025-07-20
Send exercise,Health,High,2025-07-27
Write lecture notes,Finance,Medium,2025-06-13
Update doctor appointment,Health,Low,2025-05-30
Call invoice,Health,Medium,2025-07-12
Research invoice,Finance,Low,2025-06-24
Buy proposal,Study,Medium,2025-07-21
Research exercise,Fitness,Medium,2025-07-27
Fix meeting,Shopping,High,2025-08-13
Call doctor appointment,Fitness,Low,2025-08-07
Fix exercise,Shopping,Low,2025-06-07
Prepare lecture notes,Home,Medium,2025-06-06
Clean budget,Shopping,High,2025-06-28
Research exam,Health,Medium,2025-06-28
Research exam,Personal,High,2025-07-03
Write car service,Work,Medium,2025-07-13
Buy assignment,Fitness,Medium,2025-08-17
Schedule email,Shopping,High,2025-05-24
Plan car service,Health,Medium,2025-07-26
Schedule budget,Shopping,High,2025-07-22
Attend budget,Study,Low,2025-07-16
Buy car service,Shopping,High,2025-05-22
Attend report,Personal,Low,2025-07-12
Research assignment,Health,High,2025-07-16
Send resume,Finance,High,2025-05-28
Schedule invoice,Study,Medium,2025-05-29
Clean resume,Study,Medium,2025-05-28
Review meeting,Shopping,Medium,2025-06-21
Submit resume,Work,Low,2025-08-10
Call resume,Shopping,Low,2025-06-18
Organize lecture notes,Fitness,High,2025-08-08
Complete budget,Personal,Medium,2025-07-24
Fix exercise,Study,Medium,2025-08-05
Fix lecture notes,Shopping,Low,2025-08-11
Buy car service,Home,High,2025-08-13
Plan invoice,Study,Medium,2025-07-03
Call assignment,Fitness,Low,2025-07-01
Send exercise,Home,Low,2025-08-05
Plan proposal,Study,Low,2025-05-22
Research budget,Health,High,2025-06-06
Read invoice,Work,High,2025-06-03
Prepare assignment,Home,High,2025-07-26
Prepare lecture notes,Personal,Low,2025-06-17
Plan email,Work,Low,2025-06-06
Attend car service,Shopping,Medium,2025-08-15
Clean exercise,Fitness,High,2025-05-31
Organize resume,Shopping,Low,2025-06-11
Attend resume,Personal,High,2025-05-25
Schedule budget,Home,Medium,2025-07-15
Organize presentation,Shopping,High,2025-07-09
Clean assignment,Personal,High,2025-07-28
Review invoice,Health,Low,2025-07-11
Write proposal,Shopping,Medium,2025-06-06
Schedule exam,Personal,Low,2025-08-05
Send presentation,Home,Low,2025-07-17
Schedule email,Shopping,Medium,2025-07-29
Pay email,Work,Medium,2025-05-26
Call budget,Fitness,Low,2025-06-12
Clean presentation,Finance,High,2025-08-08
Read car service,Health,High,2025-08-17
Plan budget,Personal,Medium,2025-06-02
Review lecture notes,Fitness,Medium,2025-06-28
Clean email,Study,Medium,2025-08-07
Send presentation,Personal,High,2025-08-02
Research doctor appointment,Personal,High,2025-06-04
Call meeting,Shopping,Low,2025-05-28
Research presentation,Health,Medium,2025-07-22
Clean assignment,Home,Low,2025-06-11
Update resume,Fitness,Medium,2025-08-07
Plan report,Work,High,2025-06-02
Update email,Fitness,High,2025-07-24
Write resume,Health,Medium,2025-06-20
Complete lecture notes,Study,High,2025-07-15
Buy exam,Health,High,2025-08-17
Call assignment,Study,High,2025-06-28
Schedule proposal,Shopping,High,2025-07-08
Write exam,Fitness,Medium,2025-07-26
Clean proposal,Shopping,Low,2025-05-23
Prepare meeting,Home,Medium,2025-06-18
Call presentation,Home,Low,2025-07-22
Call car service,Shopping,High,2025-07-24
Schedule email,Finance,High,2025-08-03
Call exercise,Personal,High,2025-08-10
Attend assignment,Finance,Medium,2025-07-16
Organize report,Finance,Low,2025-08-01
Organize invoice,Work,Medium,2025-06-09
Write email,Personal,High,2025-07-17
Send presentation,Study,High,2025-08-05
Submit invoice,Study,Low,2025-06-23
Read proposal,Personal,High,2025-07-06
Clean exercise,Finance,High,2025-05-30
Pay invoice,Fitness,High,2025-08-04
Call email,Fitness,Low,2025-07-26
Schedule budget,Fitness,Medium,2025-07-18
Send assignment,Fitness,High,2025-05-28
Call report,Study,Low,2025-07-26
Fix assignment,Study,Low,2025-08-05
Buy budget,Study,High,2025-07-22
Read exam,Work,High,2025-08-13
Read car service,Study,High,2025-06-17
Clean budget,Health,Low,2025-06-22
Update email,Personal,High,2025-07-27
Write car service,Shopping,High,2025-07-29
Review assignment,Personal,Low,2025-06-02
Organize exercise,Personal,Medium,2025-06-12
Send email,Finance,High,2025-06-12
Send doctor appointment,Personal,High,2025-07-05
Organize car service,Work,Medium,2025-07-30
Research proposal,Fitness,Medium,2025-06-03
Fix resume,Finance,Medium,2025-06-17
Organize lecture notes,Shopping,High,2025-07-17
Prepare presentation,Finance,Low,2025-07-05
Update exercise,Home,High,2025-06-16
Research presentation,Finance,Medium,2025-06-13
Clean report,Health,Medium,2025-06-24
Review email,Health,High,2025-05-31
Attend car service,Personal,High,2025-06-17
Send assignment,Study,Medium,2025-05-30
Write presentation,Health,Low,2025-05-31
Submit assignment,Health,Low,2025-07-09
Review resume,Work,Low,2025-08-06
Review presentation,Home,Low,2025-07-09
Send report,Health,High,2025-06-14
Submit exam,Shopping,High,2025-06-14
Fix assignment,Study,High,2025-06-23
Pay budget,Finance,Low,2025-06-13
Buy doctor appointment,Fitness,High,2025-06-27
Prepare lecture notes,Finance,Medium,2025-07-27
Fix invoice,Home,High,2025-07-05
Plan exercise,Work,Low,2025-06-29
Organize assignment,Health,Low,2025-07-22
Call exam,Fitness,Low,2025-08-11
Clean presentation,Personal,Low,2025-06-15
Plan report,Home,Low,2025-06-12
Submit lecture notes,Shopping,High,2025-06-05
Submit exercise,Study,Medium,2025-08-15
Pay exercise,Health,Low,2025-06-16
Review lecture notes,Study,High,2025-08-15
Schedule exercise,Study,Low,2025-06-29
Call email,Work,High,2025-07-12
Update report,Finance,High,2025-06-22
Call lecture notes,Personal,Low,2025-05-31
Attend exam,Shopping,Low,2025-07-03
Review doctor appointment,Study,High,2025-07-08
Write report,Personal,Low,2025-06-13
Prepare meeting,Shopping,High,2025-06-05
Schedule assignment,Personal,Medium,2025-07-24
Plan car service,Shopping,Low,2025-07-07
Send email,Finance,High,2025-07-05
Review assignment,Home,Medium,2025-06-28
Send invoice,Finance,High,2025-05-22
Update doctor appointment,Home,Medium,2025-06-23
Call resume,Work,High,2025-08-01
Fix invoice,Work,Medium,2025-06-17
Write presentation,Work,High,2025-08-04
Call car service,Health,Low,2025-06-18
Read doctor appointment,Study,Low,2025-06-08
Send assignment,Study,High,2025-08-10
Read invoice,Shopping,High,2025-07-04
Read exam,Finance,Low,2025-06-28
Send proposal,Health,High,2025-06-21
Call exercise,Health,High,2025-06-04
Research exam,Finance,Medium,2025-08-01
Research exercise,Shopping,Low,2025-08-06
Schedule exam,Shopping,High,2025-07-26
Clean lecture notes,Fitness,Medium,2025-08-17
Attend assignment,Fitness,Medium,2025-06-11
Send exam,Shopping,Medium,2025-06-30
Write proposal,Fitness,Low,2025-07-21
Write report,Health,Low,2025-06-11
Research proposal,Fitness,Medium,2025-06-13
Read resume,Personal,High,2025-07-18
Submit exam,Study,Medium,2025-05-21
Complete presentation,Shopping,Low,2025-06-10
Research proposal,Study,Low,2025-06-18
Submit car service,Personal,High,2025-06-24
Attend exam,Study,High,2025-06-07
Buy assignment,Home,Medium,2025-06-01
Schedule resume,Home,High,2025-08-11
Attend invoice,Health,Medium,2025-06-04
Write car service,Personal,Medium,2025-08-13
Review report,Shopping,Low,2025-05-24
Review proposal,Personal,Medium,2025-07-26
Update budget,Finance,High,2025-07-26
Call meeting,Shopping,High,2025-07-11
Read budget,Personal,High,2025-05-30
Update exam,Fitness,High,2025-06-19
Complete invoice,Home,Low,2025-06-26
Fix exercise,Health,High,2025-07-22
Update report,Personal,Low,2025-06-16
Write resume,Home,Low,2025-08-06
Prepare report,Home,Medium,2025-06-14
Write car service,Home,Medium,2025-06-11
Fix exercise,Home,Low,2025-07-24
Fix report,Shopping,Low,2025-05-28
Research doctor appointment,Work,Low,2025-05-24
Review meeting,Work,Medium,2025-05-20
Schedule presentation,Home,High,2025-06-25
Update exercise,Fitness,Low,2025-07-05
Read presentation,Health,High,2025-07-17
Plan doctor appointment,Study,High,2025-08-08
Write meeting,Health,Low,2025-07-27
Plan resume,Work,Medium,2025-07-16
Send resume,Home,Medium,2025-06-23
Organize invoice,Study,High,2025-08-14
Call proposal,Finance,High,2025-07-17
Review proposal,Personal,High,2025-08-06
Pay meeting,Study,Medium,2025-08-11
Attend resume,Health,Medium,2025-08-10
Submit budget,Study,Medium,2025-05-23
Schedule car service,Personal,Medium,2025-06-05
Plan resume,Personal,Low,2025-06-01
Pay resume,Study,Medium,2025-06-07
Plan meeting,Fitness,High,2025-05-24
Submit proposal,Fitness,Medium,2025-08-17
Attend meeting,Health,Medium,2025-08-13
Send doctor appointment,Study,High,2025-06-04
Complete proposal,Home,Low,2025-05-25
Complete car service,Fitness,High,2025-07-28
Organize resume,Study,Medium,2025-07-02
Research resume,Home,Medium,2025-07-01
Pay resume,Health,High,2025-07-31
Write assignment,Health,High,2025-07-17
Review budget,Fitness,Low,2025-07-04
Plan meeting,Health,Low,2025-06-04
Call resume,Home,High,2025-06-05
Send lecture notes,Shopping,High,2025-06-28
Research doctor appointment,Home,High,2025-06-27
Prepare lecture notes,Work,Medium,2025-05-27
Write meeting,Fitness,Low,2025-06-25
Pay presentation,Personal,Medium,2025-08-15
Organize email,Finance,Low,2025-06-24
Attend meeting,Finance,High,2025-08-04
Write resume,Finance,High,2025-05-29
Fix assignment,Study,High,2025-06-02
Call exercise,Study,Low,2025-06-23
Update meeting,Shopping,Medium,2025-07-17
Send doctor appointment,Work,High,2025-08-14
Schedule exercise,Shopping,High,2025-08-08
Complete email,Work,Low,2025-06-26
Attend resume,Shopping,Medium,2025-07-20
Clean assignment,Health,High,2025-06-20
Clean resume,Health,Low,2025-06-29
Research email,Shopping,Medium,2025-07-13
Read assignment,Health,High,2025-06-26
Read resume,Finance,Low,2025-07-12
Plan email,Fitness,High,2025-07-24
Update invoice,Finance,Low,2025-06-19
Schedule doctor appointment,Shopping,Low,2025-06-01
Organize lecture notes,Study,Medium,2025-08-13
Schedule invoice,Shopping,Medium,2025-06-30
Review invoice,Work,Low,2025-07-08
Buy meeting,Finance,Low,2025-07-19
Clean exam,Work,Medium,2025-08-08
Read meeting,Home,Medium,2025-08-09
Write invoice,Personal,Low,2025-07-12
Plan exercise,Shopping,Medium,2025-08-07
Write doctor appointment,Health,Medium,2025-07-23
Buy report,Fitness,High,2025-07-04
Pay assignment,Finance,Low,2025-06-03
Read invoice,Fitness,Low,2025-05-23
Read resume,Health,Medium,2025-06-01
Plan car service,Home,Low,2025-06-28
Prepare invoice,Shopping,High,2025-07-20
Submit meeting,Shopping,Medium,2025-08-10
Review exam,Personal,Low,2025-07-05
Send invoice,Fitness,Low,2025-06-11
Write assignment,Health,High,2025-07-25
Complete doctor appointment,Health,High,2025-07-30
Pay budget,Home,Medium,2025-06-15
Call lecture notes,Study,Low,2025-06-24
Buy invoice,Home,High,2025-05-31
Read exercise,Personal,Medium,2025-06-20
Read email,Fitness,High,2025-06-02
Clean exercise,Home,High,2025-07-03
Submit exercise,Study,Medium,2025-06-14
Update doctor appointment,Personal,Low,2025-06-29
Review presentation,Health,High,2025-06-26
Pay report,Home,Medium,2025-07-04
Complete resume,Personal,Medium,2025-06-15
Review doctor appointment,Study,Medium,2025-06-07
Send resume,Fitness,Medium,2025-06-13
Send meeting,Work,High,2025-06-10
Research car service,Work,High,2025-07-27
Plan email,Shopping,High,2025-06-27
Submit lecture notes,Health,Medium,2025-06-13
Organize presentation,Finance,Low,2025-08-11
Review budget,Finance,Medium,2025-07-04
Review doctor appointment,Home,High,2025-06-05
Research report,Personal,High,2025-06-01
Update resume,Finance,High,2025-08-16
Write invoice,Shopping,Low,2025-07-21
Pay assignment,Home,High,2025-05-27
Pay doctor appointment,Personal,Low,2025-06-04
Organize report,Shopping,Low,2025-06-22
Update invoice,Home,High,2025-07-21
Pay car service,Home,Medium,2025-06-07
Research invoice,Fitness,Low,2025-08-02
Submit lecture notes,Fitness,Low,2025-07-01
Review presentation,Finance,Medium,2025-07-11
Call assignment,Home,Medium,2025-07-10
Plan resume,Work,High,2025-08-13
Call presentation,Study,Low,2025-06-13
Buy budget,Shopping,Medium,2025-07-27
Organize meeting,Study,Medium,2025-07-08
Pay assignment,Personal,Low,2025-05-23
Prepare car service,Health,Medium,2025-07-22
Schedule lecture notes,Health,Low,2025-05-31
Attend email,Study,High,2025-08-04
Submit presentation,Fitness,High,2025-07-17
Write report,Shopping,High,2025-07-25
Pay presentation,Fitness,Medium,2025-07-15
Pay proposal,Home,Medium,2025-06-08
Pay exam,Fitness,Medium,2025-07-28
Attend email,Study,Low,2025-07-19
Update presentation,Fitness,Medium,2025-07-31
Buy lecture notes,Health,Low,2025-08-14
Pay assignment,Work,Medium,2025-06-07
Pay exercise,Fitness,Low,2025-07-24
Clean exam,Finance,Medium,2025-07-02
Prepare car service,Personal,Medium,2025-07-21
Fix meeting,Fitness,High,2025-06-25
Review lecture notes,Work,High,2025-07-08
Pay budget,Shopping,Medium,2025-06-06
Review invoice,Personal,High,2025-07-17
Schedule report,Finance,Low,2025-07-21
Buy doctor appointment,Fitness,Low,2025-06-19
Submit proposal,Personal,Medium,2025-08-07
Send report,Work,Medium,2025-05-30
Send car service,Fitness,Low,2025-07-12
Complete resume,Shopping,High,2025-06-08
Buy doctor appointment,Home,Low,2025-08-03
Organize doctor appointment,Personal,High,2025-07-22
Plan exercise,Study,Low,2025-07-24
Prepare doctor appointment,Work,Medium,2025-06-11
Research email,Home,Medium,2025-07-08
Clean report,Health,Medium,2025-08-11
Attend assignment,Home,Medium,2025-05-20
Research doctor appointment,Shopping,Low,2025-06-24
Buy exercise,Fitness,Low,2025-05-29
Read meeting,Finance,Medium,2025-05-25
Submit email,Home,Medium,2025-08-12
Send invoice,Shopping,Low,2025-05-20
Clean doctor appointment,Health,Low,2025-06-14
Buy invoice,Health,Medium,2025-08-09
Prepare doctor appointment,Study,Medium,2025-07-29
Organize meeting,Study,Medium,2025-05-30
Prepare exam,Shopping,Low,2025-07-07
Fix exam,Work,Medium,2025-07-11
Plan meeting,Finance,High,2025-05-28
Prepare proposal,Fitness,Medium,2025-07-13
Send resume,Fitness,Medium,2025-06-14
Schedule exam,Work,Medium,2025-07-01
Call presentation,Study,Low,2025-07-28
Send exercise,Health,Low,2025-07-17
Buy lecture notes,Health,Low,2025-06-16
Organize email,Health,Medium,2025-06-30
Attend proposal,Work,High,2025-08-15
Submit presentation,Home,Low,2025-08-16
Write report,Home,Medium,2025-08-16
Clean exam,Work,High,2025-07-19
Pay resume,Personal,Low,2025-05-31
Research report,Work,High,2025-05-24
Buy presentation,Finance,Medium,2025-07-03
Complete presentation,Fitness,High,2025-08-14
Read assignment,Home,Medium,2025-06-29
Buy assignment,Home,High,2025-08-14
Pay exercise,Fitness,Low,2025-06-28
Submit doctor appointment,Finance,High,2025-08-14
Research meeting,Personal,Low,2025-06-30
Complete budget,Work,Low,2025-06-04
Read meeting,Personal,High,2025-07-24
Submit email,Work,Medium,2025-05-28
Write email,Fitness,Medium,2025-07-28
Fix invoice,Health,High,2025-08-02
Schedule presentation,Study,Medium,2025-06-16
Research proposal,Finance,High,2025-06-29
Call invoice,Work,High,2025-07-15
Update report,Finance,Low,2025-07-13
Complete car service,Fitness,Medium,2025-07-13
Review lecture notes,Personal,High,2025-07-30
Schedule proposal,Study,Low,2025-05-25
Update exercise,Personal,Medium,2025-07-03
Send resume,Home,Medium,2025-06-21
Plan exercise,Health,Low,2025-07-19
Complete presentation,Shopping,Low,2025-05-23
Buy budget,Fitness,Medium,2025-05-26
Write invoice,Study,Low,2025-08-02
Prepare presentation,Home,Medium,2025-08-12
Read lecture notes,Work,High,2025-06-04
Clean presentation,Health,High,2025-07-04
Read exam,Home,Low,2025-07-21
Buy proposal,Home,High,2025-07-06
Write presentation,Health,Low,2025-05-23
Pay meeting,Shopping,Medium,2025-07-12
Call exercise,Finance,Medium,2025-06-14
Pay lecture notes,Finance,High,2025-06-23
Read resume,Personal,Low,2025-05-29
Read budget,Work,Low,2025-06-02
Update exam,Home,Low,2025-08-13
Update presentation,Shopping,Low,2025-08-02
Read budget,Finance,High,2025-08-03
Fix doctor appointment,Finance,High,2025-06-19
Attend car service,Home,Medium,2025-05-20
Organize assignment,Study,Medium,2025-07-09
Prepare exercise,Shopping,High,2025-06-23
Send email,Health,High,2025-07-29
Organize lecture notes,Finance,Low,2025-07-01
Send invoice,Fitness,High,2025-07-25
Prepare exercise,Personal,Low,2025-07-29
Schedule exam,Work,Low,2025-07-26
Plan invoice,Personal,Low,2025-08-01
Submit lecture notes,Shopping,High,2025-06-14
Write assignment,Shopping,Medium,2025-07-27
Attend doctor appointment,Personal,Low,2025-05-26
Call assignment,Home,Medium,2025-07-21
Complete proposal,Home,Medium,2025-07-08
Fix doctor appointment,Health,Medium,2025-06-09
Review report,Personal,High,2025-06-19
Update invoice,Work,Low,2025-07-23
Schedule resume,Personal,Medium,2025-06-04
Prepare meeting,Health,Low,2025-07-15
Pay budget,Study,High,2025-06-11
Submit exercise,Work,High,2025-06-04
Schedule meeting,Personal,Medium,2025-06-01
Buy exercise,Fitness,High,2025-07-03
Research assignment,Home,Medium,2025-08-10
Organize presentation,Work,High,2025-06-29
Research email,Fitness,High,2025-07-13
Review doctor appointment,Shopping,Low,2025-06-19
Prepare car service,Shopping,Medium,2025-07-17
Organize budget,Health,Low,2025-07-16
Call lecture notes,Finance,Low,2025-06-28
Update exam,Fitness,High,2025-06-29
Submit meeting,Finance,Low,2025-08-06
Clean exercise,Work,Low,2025-08-09
Update lecture notes,Finance,High,2025-06-16
Fix budget,Fitness,Low,2025-06-11
Pay email,Health,Medium,2025-06-16
Submit exercise,Fitness,Low,2025-07-25
Submit meeting,Fitness,Medium,2025-06-18
Submit proposal,Health,High,2025-05-20
Update assignment,Fitness,Medium,2025-07-11
Schedule invoice,Fitness,High,2025-05-21
Write resume,Shopping,High,2025-06-10
Complete proposal,Personal,Low,2025-05-25
Organize invoice,Finance,Low,2025-06-09
Research doctor appointment,Shopping,High,2025-08-16
Clean assignment,Work,High,2025-07-14
Clean lecture notes,Home,High,2025-06-26
Plan doctor appointment,Shopping,Medium,2025-05-28
Review exercise,Study,Low,2025-06-08
Organize meeting,Personal,Medium,2025-06-11
Prepare resume,Personal,High,2025-05-21
Pay resume,Finance,Low,2025-06-20
Write doctor appointment,Shopping,High,2025-06-29
Pay proposal,Work,Medium,2025-08-02
Read meeting,Work,Low,2025-08-07
Pay car service,Home,High,2025-07-29
Pay assignment,Finance,Low,2025-08-17
Fix meeting,Shopping,High,2025-08-11
Research proposal,Personal,High,2025-07-13
Organize report,Work,Low,2025-08-09
Review doctor appointment,Study,Medium,2025-06-15
Send meeting,Personal,High,2025-07-27
Pay exam,Study,Low,2025-07-24
Plan presentation,Finance,Low,2025-07-19
Organize assignment,Home,Low,2025-06-09
Clean email,Fitness,Low,2025-07-07
Read proposal,Personal,High,2025-08-05
Call budget,Home,Medium,2025-05-30
Attend meeting,Personal,High,2025-08-03
Write resume,Shopping,High,2025-05-23
Prepare proposal,Study,High,2025-06-05
Write meeting,Study,Medium,2025-06-17
Review exercise,Work,Medium,2025-06-25
Send email,Finance,Medium,2025-05-23
Write doctor appointment,Work,Medium,2025-07-03
Complete lecture notes,Health,Low,2025-06-23
Send doctor appointment,Shopping,Low,2025-08-06
Send meeting,Shopping,Low,2025-08-09
Write exam,Health,High,2025-07-11
Schedule car service,Study,Low,2025-08-13
Read proposal,Personal,Low,2025-08-12
Complete car service,Finance,Low,2025-07-03
Clean invoice,Study,Low,2025-08-14
Research presentation,Shopping,Low,2025-06-23
Organize presentation,Health,High,2025-06-12
Buy budget,Study,Medium,2025-08-09
Clean invoice,Work,Low,2025-06-15
Send exam,Work,Low,2025-06-08
Buy assignment,Study,Low,2025-07-10
Schedule exam,Work,Low,2025-07-28
Send lecture notes,Shopping,High,2025-08-03
Write assignment,Fitness,Low,2025-08-05
Plan budget,Finance,High,2025-07-04
Organize lecture notes,Health,High,2025-06-18
Submit lecture notes,Finance,Medium,2025-06-27
Pay resume,Shopping,High,2025-08-13
Organize email,Study,High,2025-08-05
Update invoice,Finance,High,2025-06-17
Write resume,Health,Medium,2025-06-05
Fix presentation,Personal,High,2025-07-29
Research budget,Health,Medium,2025-07-16
Review assignment,Home,Medium,2025-07-31
Schedule doctor appointment,Work,Medium,2025-07-28
Plan email,Health,Medium,2025-07-16
Attend resume,Health,Medium,2025-08-17
Fix report,Shopping,Low,2025-06-03
Fix meeting,Fitness,Medium,2025-08-14
Attend presentation,Personal,Low,2025-08-01
Plan presentation,Health,High,2025-07-04
Write exercise,Personal,High,2025-08-17
Call resume,Personal,Medium,2025-07-13
Schedule doctor appointment,Personal,High,2025-08-03
Complete exercise,Study,High,2025-07-25
Write exam,Home,High,2025-07-30
Prepare email,Personal,Medium,2025-07-14
Send assignment,Finance,High,2025-08-17
Organize invoice,Study,Medium,2025-08-12
Organize assignment,Health,Medium,2025-07-16
Review exercise,Home,High,2025-07-24
Update car service,Work,High,2025-06-29
Pay proposal,Health,High,2025-07-24
Schedule assignment,Home,Low,2025-08-09
Read proposal,Study,High,2025-06-24
Submit email,Home,Medium,2025-07-08
Clean exercise,Personal,High,2025-06-06
Read meeting,Shopping,Medium,2025-07-19
Buy exercise,Work,Medium,2025-07-16
Plan car service,Shopping,High,2025-08-09
Read exercise,Work,Medium,2025-08-09
Update report,Work,Medium,2025-06-05
Pay exercise,Work,High,2025-07-13
Organize lecture notes,Home,High,2025-07-23
Write email,Study,High,2025-07-20
Update meeting,Health,Low,2025-07-22
Buy lecture notes,Personal,High,2025-08-05
Research assignment,Finance,Medium,2025-08-04
Write lecture notes,Finance,Medium,2025-05-27
Read car service,Fitness,High,2025-07-28
Update resume,Study,Low,2025-08-14
Pay car service,Health,Low,2025-06-17
Plan presentation,Finance,High,2025-07-20
Clean assignment,Finance,Low,2025-05-23
Buy doctor appointment,Fitness,Low,2025-06-05
Buy doctor appointment,Fitness,High,2025-07-12
Write lecture notes,Home,High,2025-06-01
Clean presentation,Study,Medium,2025-07-08
Update proposal,Finance,Low,2025-06-19
Clean report,Fitness,High,2025-06-04
Read car service,Home,Low,2025-06-27
Call doctor appointment,Fitness,Low,2025-08-13
Plan proposal,Fitness,Low,2025-06-17
Clean invoice,Shopping,Medium,2025-06-14
Complete meeting,Fitness,Medium,2025-06-09
Call invoice,Fitness,Low,2025-06-22
Schedule exercise,Fitness,Medium,2025-06-14
Research exercise,Study,High,2025-08-15
Review budget,Personal,High,2025-08-15
Call presentation,Shopping,Low,2025-07-15
Fix email,Study,Low,2025-08-07
Review doctor appointment,Finance,Low,2025-06-09
Update exercise,Fitness,Medium,2025-07-06
Research lecture notes,Fitness,Low,2025-06-21
Attend exercise,Health,Low,2025-08-07
Clean meeting,Shopping,High,2025-08-01
Submit budget,Home,Medium,2025-06-28
Write exercise,Work,Medium,2025-07-28
Send presentation,Work,Low,2025-06-12
Organize exercise,Finance,Low,2025-08-07
Pay report,Work,High,2025-07-03
Buy email,Shopping,High,2025-07-23
Submit assignment,Work,Low,2025-06-05
Plan email,Fitness,Low,2025-07-20
Plan lecture notes,Work,Medium,2025-06-10
Plan email,Personal,Medium,2025-05-27
Organize lecture notes,Finance,Medium,2025-07-21
Submit email,Health,High,2025-06-29
Fix invoice,Study,Medium,2025-07-01
Review lecture notes,Work,Low,2025-06-19
Read invoice,Work,High,2025-07-13
Read proposal,Health,Medium,2025-07-18
Update meeting,Finance,High,2025-05-26
Submit presentation,Health,High,2025-08-05
Organize assignment,Finance,Medium,2025-06-16
Schedule report,Finance,High,2025-07-04
Read invoice,Study,Medium,2025-05-29
Review resume,Work,Low,2025-07-07
Fix presentation,Home,High,2025-07-01
Review invoice,Health,Medium,2025-05-26
Review resume,Work,High,2025-07-10
Read meeting,Personal,Medium,2025-07-09
Send meeting,Health,Low,2025-07-08
Prepare exam,Shopping,High,2025-06-03
Review proposal,Personal,High,2025-07-27
Read lecture notes,Fitness,Low,2025-06-08
Review email,Study,Low,2025-08-07
Plan lecture notes,Study,Low,2025-06-28
Schedule meeting,Study,Medium,2025-08-06
Fix email,Work,Medium,2025-08-08
Send assignment,Work,Low,2025-08-09
Read exam,Health,Low,2025-05-21
Submit exam,Work,Medium,2025-06-23
Schedule doctor appointment,Fitness,Medium,2025-06-07
Prepare lecture notes,Health,Medium,2025-08-08
Review budget,Personal,Medium,2025-06-23
Research lecture notes,Fitness,Low,2025-06-25
Write email,Home,Medium,2025-05-24
Fix resume,Study,Low,2025-06-01
Read proposal,Work,High,2025-07-12
Plan car service,Shopping,High,2025-05-28
Prepare car service,Home,Low,2025-08-11
Fix exam,Study,Low,2025-07-15
Pay proposal,Study,Medium,2025-07-22
Prepare exercise,Fitness,High,2025-06-24
Clean car service,Finance,Low,2025-06-03
Schedule lecture notes,Shopping,High,2025-05-20
Buy invoice,Finance,Low,2025-05-27
Review presentation,Health,Medium,2025-08-14
Organize invoice,Work,Low,2025-07-09
Complete lecture notes,Work,High,2025-07-12
Fix lecture notes,Fitness,Medium,2025-07-03
Update car service,Finance,High,2025-06-01
Clean assignment,Home,Medium,2025-06-17
Call email,Finance,Medium,2025-06-28
Schedule budget,Fitness,Medium,2025-08-06
Prepare doctor appointment,Finance,Medium,2025-07-22
Attend email,Health,High,2025-06-04
Review report,Work,Medium,2025-07-30
Write meeting,Shopping,High,2025-07-04
Write exercise,Fitness,Low,2025-07-21
Pay resume,Work,Medium,2025-08-15
Review doctor appointment,Shopping,Low,2025-08-14
Complete resume,Shopping,Medium,2025-06-03
Attend email,Shopping,Medium,2025-07-11
Attend meeting,Fitness,High,2025-07-28
Submit presentation,Work,Low,2025-05-23
Complete exam,Health,Medium,2025-06-18
Clean meeting,Home,High,2025-06-09
Attend email,Home,Low,2025-06-20
Complete exam,Shopping,Low,2025-07-22
Attend car service,Shopping,Medium,2025-06-25
Complete lecture notes,Personal,Low,2025-06-02
Pay presentation,Finance,Medium,2025-07-30
Read report,Finance,Medium,2025-05-22
Update meeting,Home,High,2025-05-30
Send meeting,Health,High,2025-07-24
Update exercise,Study,Medium,2025-08-01
Fix invoice,Health,Medium,2025-06-18
Write doctor appointment,Finance,High,2025-05-29
Research car service,Health,Low,2025-06-08
